Player Name,Accurate Long Balls,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Attack,Big Chances Created,Big Chances Missed,Blocked Shots,Catches,Clean Sheets,Clearances,Clearances Off Line,Club,Cross Accuracy %,Crosses,Defence,Discipline,Duels Lost,Duels Won,Errors Leading To Goal,Fouls,Goal Kicks,Goalkeeping,Goals,Goals Conceded,Goals From Freekick,Goals Per Match,Goals With Header,Goals With Left Foot,Goals With Right Foot,Headed Clearance,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Losses,Offsides,Own Goals,Passes,Passes Per Match,Penalties Saved,Penalties Scored,Position,Punches,Recoveries,Red Cards,Saves,Shooting Accuracy %,Shots,Shots On Target,Successful 50/50s,Sweeper Clearances,Tackle Success %,Tackles,Team Play,Through Balls,Throw Outs,Wins,Yellow Cards
Jeff Hendrick,70,43,35,34,1,,1,1,14,0,0,34,0,Burnley,28,18,,,167,131,0,44,,0,2,0,0,0.06,1,0,1,17,0,0,40,0,19,4,0,1073,31.56,0,0,Midfielder,0,163,1,0,16,37,6,24,0,53,34,,0,0,10,6
Wayne Hennessey,1284,0,0,138,1,0,0,0,0,87,25,,0,Crystal Palace,,,,,,,12,1,1246,,0,234,0,0,0,0,0,0,242,0,0,0,73,0,1,3762,27.26,2,0,Goalkeeper,49,,0,487,,0,0,0,103,,0,,0,541,35,3
Ander Herrera,243,38,46,87,12,,12,3,39,0,0,90,0,Manchester United,32,102,,,376,442,0,107,,0,10,0,0,0.11,1,2,7,27,0,2,158,0,17,3,0,4828,55.49,0,1,Midfielder,0,464,1,0,19,99,19,77,0,71,213,,33,0,46,15
Jake Hesketh,0,1,0,2,0,,0,0,0,0,0,0,0,Southampton,1,1,,,4,2,0,1,,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,18,9,0,0,Midfielder,0,0,0,0,50,2,1,0,0,50,2,,0,0,0,1
Mateusz Hewelt,0,0,0,0,0,0,0,0,0,0,0,,0,Everton U21,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,,0,0,,0,0,0,0,,0,,0,0,0,0
Jordy Hiwula-Mayifuila,,0,0,0,0,,0,0,0,0,0,0,0,Fleetwood Town,,0,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,,0,0,0,0,0,0,0,,0,,0,0,0,0
Tommie Hoban,0,0,0,0,0,,0,0,0,0,0,0,0,Watford,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Wesley Hoedt,17,3,4,2,0,,0,0,1,0,1,10,0,Southampton,2,2,,,5,6,0,1,,0,0,2,0,0,0,0,0,6,0,0,3,0,1,0,0,111,55.5,0,0,Defender,0,13,0,0,,0,0,1,0,100,1,,0,0,1,0
Jonathan Hogg,21,4,6,6,0,,0,0,0,0,0,6,0,Huddersfield Town,1,1,,,21,29,0,7,,0,0,0,0,6,0,0,0,1,0,0,8,0,3,0,0,200,33.33,0,0,Midfielder,0,31,0,0,0,0,0,0,0,72,18,,0,0,1,1
Rob Holding,30,20,33,11,0,,0,0,3,0,4,60,0,Arsenal,100,2,,,47,58,0,14,,0,0,15,0,0,0,0,0,30,0,0,14,0,2,0,0,587,53.36,0,0,Defender,0,56,0,0,,0,0,7,0,79,14,,0,0,8,4
